"Data Source","World Development Indicators",

"Last Updated Date","2019-03-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018",
"Antigua and Barbuda","ATG","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","4.38362792086504","8.07974533665914","8.16143079697964","3.81491616554095","-0.0840122638518039","5.36401627271424","10.1649955948421","7.6437935974254","11.4938285653697","6.62636884664514","5.21327290002557","5.2522746560909","3.01164666223812","2.1768713767013","1.1583281233201","5.280072301034","6.67619689561938","-4.35949499199644","6.60481686544836","5.4711335938302","4.73131412175604","3.70789458252005","6.69173929307314","-4.95407541493864","1.02410075957276","6.05790848420824","5.7364604899071","6.41240554799147","12.7285084307718","9.25942068972286","-0.0301330097773302","-12.1075371126752","-7.20002496843168","-2.07912677995967","3.50661026902191","-0.103866073852814","4.65812844868185","4.02573908155404","5.58973913496703","3.03260611189997","",
"Australia","AUS","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","2.48560503731876","1.29647768991248","6.21427841413849","6.97872371922269","5.98345003182685","2.38249118683902","6.30238571187178","5.09586806107485","7.04415869047823","7.17218249969342","4.00393029937437","3.91269095266455","2.61381945403487","4.10258940908359","1.35033806932037","2.58794616187579","3.59737724486371","0.896770386373419","4.04351412008216","3.03420651964717","3.33785828158","3.32811935127086","-2.22014376028406","4.58113977595602","5.2492064621253","4.05513490026313","2.50532414245347","5.68105349873713","3.86759656499176","3.5645510463558","-0.387546485670072","0.442615830244435","4.0390788740615","3.97853397066716","3.8293687531652","3.87863127139082","3.96642048968603","4.57673936435452","5.01806394269731","3.94318908229896","1.93310572881344","4.00302228370373","2.98574490463473","4.00110552014283","3.19031634041626","2.83423251220411","3.77732902959087","3.65776675972091","1.92272729288334","2.05294200395332","2.45110508268402","3.89194002647891","2.63948235705639","2.55833752286902","2.35113644074406","2.82731051096303","1.95757542160659","",
"Austria","AUT","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","5.53797931684525","2.64867511295262","4.13826758157036","6.12435373762833","3.48017491799561","5.64286141093268","3.00804779775493","4.47231278246069","6.2758671660702","6.32114254507779","5.11496871403365","6.20786098645996","4.89043542507672","3.94213813939555","-0.363735739528693","4.57844540313283","5.07998079916527","-0.210653450960095","5.35669983130138","1.73148542809489","-0.144294518362841","2.01125436553259","2.97308802055163","0.0512752525777955","2.4986784712659","2.30139280099837","1.35716798439928","3.29588020740688","3.88707478770178","4.34564156052724","3.44162739232672","2.09352472320464","0.526809482420504","2.40211876340426","2.66798366552709","2.34953509672661","2.09359647615659","3.58143100907364","3.55633024060906","3.37572197324998","1.26717046902299","1.65154940733892","0.941473311999275","2.73511851844388","2.24406681223554","3.45404103230437","3.72741517552969","1.46042519318141","-3.76458048308088","1.83709459152502","2.92279763636382","0.68044437424868","0.0255041006158336","0.828733875377921","1.09185423166194","1.45091543821485","3.03527267887569","",
"Azerbaijan","AZE","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.699999960061689","-22.6000003946572","-23.099999548566","-19.7000000190049","-11.8000008993603","1.30000019976242","5.80000052390139","10.0000002781915","7.40000058167318","11.0999992535406","9.89999999999999","10.5999992015725","11.2000002371477","10.2000003982988","26.4000008082431","34.4999995102935","25.0489995231791","10.7724207826314","9.41065376397619","4.85433932383958","0.0659227678492726","2.20000018843571","5.79667839631929","2","1.0999998090951","-3.10000020204575","0.0999998139003679","",
"Burundi","BDI","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","-13.7461350547258","9.06315793459652","4.13540741977501","6.27303790305595","3.96722560866229","4.61299289593038","13.8215186020326","-0.297883673243859","-1.45954114320632","21.3256707328197","2.74682871136842","-6.40396492291269","6.88905071788042","-0.726839562116467","0.697920236170518","7.94266097596679","11.4694530442726","-0.940575989168565","1.66495495026511","0.991055725131801","12.1632755702466","-1.05359982020337","3.71532699143128","0.155544004817941","11.7831801831474","3.25018045829934","5.50309611884371","5.03102436828991","1.34950222992003","3.49982214003705","4.99683645144209","1.00999836586129","-6.23999999920227","-3.82999999669249","-7.9200000006571","-8.0000000013725","-1.58999999720005","4.74999999206429","-1.00999999619914","-0.856864059223014","2.05580710931295","4.44651941891432","-1.22372795923889","4.83365776164749","0.900000002864346","5.41380714491444","3.45195248952621","4.8617129950775","3.81274693652152","5.12416330338039","4.03260249625296","4.44670822214543","4.9241952612883","4.24065164368079","-3.90000308649554","-0.600019999969277","0.500009999947835","",
"Belgium","BEL","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.97842306319194","5.21200350925577","4.35158428167051","6.95668473344054","3.56065983986041","3.15589498173436","3.86814694690094","4.19412962494752","6.62979979529406","5.59180262879697","3.98582735506511","5.29560441042238","6.38170209761178","4.56525805475498","-1.96594157998618","5.65274585962644","0.626154799754943","2.84189657602427","2.34107306339486","4.44405402198321","-0.27928360018538","0.594986939246581","0.311842731505322","2.46638267874985","1.65179283915737","1.82276211449314","2.30665940818535","4.72320889739768","3.46916683249077","3.13740247636093","1.83307427109585","1.53065481372133","-0.961873088301189","3.22697146703889","2.3847572377606","1.59340630293812","3.710444953595","1.97527436606788","3.56331155213489","3.63365201492995","0.811543606908231","1.78050630060444","0.774567233499226","3.63468067224031","2.09427270847185","2.50614011546131","3.44897379169034","0.78317303775475","-2.25317463494594","2.74421327182894","1.79830265913084","0.234796924396491","0.200650443652648","1.29326523510287","1.42695680945808","1.41229201545339","1.72976676241763","",
"Benin","BEN","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","3.14128045871784","-3.4264098228757","4.73002797546241","6.65075911863298","5.29386283436426","3.57586273280783","1.07839866577682","3.84233563580621","2.87749797606187","2.09775757773704","-1.49684182821601","6.42636754448678","3.70616531858225","3.33931216069718","-4.89534544485581","0.884356333007389","4.98366372489861","1.25507803202922","6.53574740878145","6.78176387161284","9.95423116663252","2.23506634454733","-4.34782273446397","7.92983956425357","7.53032483653877","2.17114159786259","-1.50000294944435","3.40524529485118","-2.85416049626545","8.97613436064626","4.22579941870274","2.95771082640847","5.83617208779967","2.02040044766727","6.04519864774498","4.32428403143146","5.73468837672671","3.96101213801589","5.34144937202619","5.85999210110583","5.33041085668984","4.64447002567962","3.44404484874129","4.42962902368194","1.71157762807459","3.94701374716007","5.98651552196785","4.88989863684026","2.32930120963711","2.11019929660023","2.96275035081007","4.81647824066904","7.18971631205676","6.35183194111322","2.0958083832335","3.96485991037314","5.83782330470896","",
"Burkina Faso","BFA","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","4.04392797653317","6.12879878142711","-1.26801637263019","2.28281922317825","3.76454538057878","0.53761308310483","8.82331497511429","3.07077393772455","2.02608104065483","0.117019610899916","1.41333988193304","2.31149874124745","0.449327404973701","8.28642648234306","2.99838289042407","8.53489496952547","0.370353558007523","4.60782500525137","3.66462151183148","0.796878872350675","4.25530339449531","9.56219662276685","0.345984739692895","-1.77869668654424","8.51736499535107","7.95536272803459","-0.236336793625298","5.79559296480244","2.15026727576519","-0.60292848001005","9.06998446083453","0.232710762542766","3.46138493514046","1.31500727214082","5.71637386679349","11.0147438692119","6.31683473498401","7.30771963314496","7.40417896632496","1.82024189276156","6.61339955512814","4.35300432287377","7.80243989821501","4.47847434866785","8.66186160516736","6.25315860358158","5.65500511828274","7.29449815007297","2.96201437138612","5.37337312603061","6.62686519230525","6.45269875497425","5.79258931687122","4.32683735691617","3.89454805671508","5.93413510489553","6.30209605892456","",
"Bangladesh","BGD","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","6.05816082548087","5.45303096987186","-0.455894289938712","10.9527885460418","1.60625822891573","2.56681200128052","-1.87586391964774","9.48945401547951","1.22085790909685","5.61985229280111","-5.47948302721956","-13.9737287020439","3.32568019878394","9.59195630041845","-4.08821409181661","5.66136120119667","2.67305605001984","7.07383773260692","4.80163460055662","0.81914186889891","7.23394369490723","2.13432783577075","3.88104639981715","4.80331001525438","3.34201465415414","4.173382559004","3.77240185252705","2.41625685566223","2.83658212907926","5.62225816160702","3.4852278153552","5.44268555072129","4.71156172449447","3.89012644065643","5.12127789716162","4.52291921762344","4.48989649735631","5.17702687345256","4.67015636827865","5.2932947184604","5.07728777597312","3.83312394005608","4.73956739916446","5.2395329104527","6.53594494052352","6.67190498148148","7.0585993565727","6.01378975923306","5.04512479417738","5.57180227396866","6.46438388047517","6.52143507837333","6.01361036536019","6.06105935903958","6.55265279631962","7.1134894741232","7.28418409195113","",
"Bulgaria","BGR","GDP growth (annual %)","NY.GDP.MKTP.KD.ZG","","","","","","","","","","","","","","","","","","","","","","4.90016185983096","2.33456559219091","3.43030591266262","3.39644362278435","2.68344073997291","4.20760200434142","6.05451383876866","10.9446920641535","-3.28988206795438","-9.11737709653305","-8.44535523808105","-7.27238790651938","-1.48021482899122","1.81801124071566","2.86018944148833","0.704680677821131","-1.08882024740534","6.34897902911045","-8.40813438865463","4.76577106392688","3.77021779291451","5.93751640002745","5.15621844288377","6.43535832318665","7.12351107638302","6.87435837944525","7.3444219091066","6.02188340210856","-3.58614562510616","1.32408780093829","1.91490585291416","0.0309698686798754","0.493921421234305","1.8375211479416","3.47118604090714","3.9367581489791","3.81124815844305","",
